"..Date.and.Time..UTC.","Receiver","Transmitter","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Station.Name","Latitude","Longitude"
2017-10-01 09:37:39,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:49:11,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 09:51:27,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:14:26,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:17:29,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:20:33,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:26:40,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:29:43,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 19:32:45,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 20:00:39,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 20:03:35,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 20:06:24,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 20:08:58,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 20:45:39,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 20:53:13,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 20:56:08,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 20:58:55,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 21:01:24,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
